full_text,label,tweet_tokens,tweet_tokens_wsw,tweet_tokens_stemmed
heboh penculik anak umur bulan ditangkap di perumnas simalingkar medan dan pelakunya telah tertangkap oleh warga di daerah pajak jahe simalingkar medan diduga masih ada para pelaku lainnya yang berhasil lolos harap hati hati dan waspada,0,"['heboh', 'penculik', 'anak', 'umur', 'bulan', 'ditangkap', 'di', 'perumnas', 'simalingkar', 'medan', 'dan', 'pelakunya', 'telah', 'tertangkap', 'oleh', 'warga', 'di', 'daerah', 'pajak', 'jahe', 'simalingkar', 'medan', 'diduga', 'masih', 'ada', 'para', 'pelaku', 'lainnya', 'yang', 'berhasil', 'lolos', 'harap', 'hati', 'hati', 'dan', 'waspada']","['heboh', 'penculik', 'anak', 'umur', 'ditangkap', 'perumnas', 'simalingkar', 'medan', 'pelakunya', 'tertangkap', 'warga', 'daerah', 'pajak', 'jahe', 'simalingkar', 'medan', 'diduga', 'pelaku', 'berhasil', 'lolos', 'harap', 'hati', 'hati', 'waspada']","['heboh', 'culik', 'anak', 'umur', 'tangkap', 'perumnas', 'simalingkar', 'medan', 'laku', 'tangkap', 'warga', 'daerah', 'pajak', 'jahe', 'simalingkar', 'medan', 'duga', 'laku', 'hasil', 'lolos', 'harap', 'hati', 'hati', 'waspada']"
indonesia paling ditakuti negaranegara di timur tengah yg saat ini sedang konflik harus ekstra hatihati saat menembakkan rudalnya kalo sempat rudalnya nyasar ke wilayah indonesia siapsiap negara itu akan bangkrut seketika akibat bayar pajak ke indonesia,0,"['indonesia', 'paling', 'ditakuti', 'negaranegara', 'di', 'timur', 'tengah', 'yg', 'saat', 'ini', 'sedang', 'konflik', 'harus', 'ekstra', 'hatihati', 'saat', 'menembakkan', 'rudalnya', 'kalo', 'sempat', 'rudalnya', 'nyasar', 'ke', 'wilayah', 'indonesia', 'siapsiap', 'negara', 'itu', 'akan', 'bangkrut', 'seketika', 'akibat', 'bayar', 'pajak', 'ke', 'indonesia']","['indonesia', 'ditakuti', 'negaranegara', 'timur', 'konflik', 'ekstra', 'hatihati', 'menembakkan', 'rudalnya', 'rudalnya', 'nyasar', 'wilayah', 'indonesia', 'siapsiap', 'negara', 'bangkrut', 'akibat', 'bayar', 'pajak', 'indonesia']","['indonesia', 'takut', 'negaranegara', 'timur', 'konflik', 'ekstra', 'hatihati', 'tembak', 'rudal', 'rudal', 'nyasar', 'wilayah', 'indonesia', 'siapsiap', 'negara', 'bangkrut', 'akibat', 'bayar', 'pajak', 'indonesia']"
pajak naik atas keinginan rakyat begitu kata airlangga hartarto jokowisme yang ngawur cc bijimane nih bang mpu,0,"['pajak', 'naik', 'atas', 'keinginan', 'rakyat', 'begitu', 'kata', 'airlangga', 'hartarto', 'jokowisme', 'yang', 'ngawur', 'cc', 'bijimane', 'nih', 'bang', 'mpu']","['pajak', 'rakyat', 'airlangga', 'hartarto', 'jokowisme', 'ngawur', 'cc', 'bijimane', 'bang', 'mpu']","['pajak', 'rakyat', 'airlangga', 'hartarto', 'jokowisme', 'ngawur', 'cc', 'bijimane', 'bang', 'mpu']"
retribusi pasar mencekik pedagang pasar trenggalek turun ke jalan insyaallah pajak naik pasti ada tujuannya pajak balik nama tanah juga naik,0,"['retribusi', 'pasar', 'mencekik', 'pedagang', 'pasar', 'trenggalek', 'turun', 'ke', 'jalan', 'insyaallah', 'pajak', 'naik', 'pasti', 'ada', 'tujuannya', 'pajak', 'balik', 'nama', 'tanah', 'juga', 'naik']","['retribusi', 'pasar', 'mencekik', 'pedagang', 'pasar', 'trenggalek', 'turun', 'jalan', 'insyaallah', 'pajak', 'tujuannya', 'pajak', 'nama', 'tanah']","['retribusi', 'pasar', 'cekik', 'dagang', 'pasar', 'trenggalek', 'turun', 'jalan', 'insyaallah', 'pajak', 'tuju', 'pajak', 'nama', 'tanah']"
nikmat nya pajak rakyat,0,"['nikmat', 'nya', 'pajak', 'rakyat']","['nikmat', 'pajak', 'rakyat']","['nikmat', 'pajak', 'rakyat']"
tw bea cukai besaran pajak coklat dari umr jogja,0,"['tw', 'bea', 'cukai', 'besaran', 'pajak', 'coklat', 'dari', 'umr', 'jogja']","['tw', 'bea', 'cukai', 'besaran', 'pajak', 'coklat', 'umr', 'jogja']","['tw', 'bea', 'cukai', 'besar', 'pajak', 'coklat', 'umr', 'jogja']"
saya ogah bayar pajak uangnya buat koruptor kaya suaminya sandra dewi bebas kelayapan seperti gayus tambunan,0,"['saya', 'ogah', 'bayar', 'pajak', 'uangnya', 'buat', 'koruptor', 'kaya', 'suaminya', 'sandra', 'dewi', 'bebas', 'kelayapan', 'seperti', 'gayus', 'tambunan']","['ogah', 'bayar', 'pajak', 'uangnya', 'koruptor', 'kaya', 'suaminya', 'sandra', 'dewi', 'bebas', 'kelayapan', 'gayus', 'tambunan']","['ogah', 'bayar', 'pajak', 'uang', 'koruptor', 'kaya', 'suami', 'sandra', 'dewi', 'bebas', 'layap', 'gayus', 'tambun']"
gue cishetero menikah mendapatkan keuntungan seperti kapital diitung bareng oleh bank potongan pajak hak waris dan hak keputusan medis hak pengasuhan anak hak harta bersama hal ini gak bisa dinikmati oleh kaum lgbt di indonesia kalo bukan diskriminasi ini apa,0,"['gue', 'cishetero', 'menikah', 'mendapatkan', 'keuntungan', 'seperti', 'kapital', 'diitung', 'bareng', 'oleh', 'bank', 'potongan', 'pajak', 'hak', 'waris', 'dan', 'hak', 'keputusan', 'medis', 'hak', 'pengasuhan', 'anak', 'hak', 'harta', 'bersama', 'hal', 'ini', 'gak', 'bisa', 'dinikmati', 'oleh', 'kaum', 'lgbt', 'di', 'indonesia', 'kalo', 'bukan', 'diskriminasi', 'ini', 'apa']","['gue', 'cishetero', 'menikah', 'keuntungan', 'kapital', 'diitung', 'bareng', 'bank', 'potongan', 'pajak', 'hak', 'waris', 'hak', 'keputusan', 'medis', 'hak', 'pengasuhan', 'anak', 'hak', 'harta', 'dinikmati', 'kaum', 'lgbt', 'indonesia', 'diskriminasi']","['gue', 'cishetero', 'meni', 'untung', 'kapital', 'diitung', 'bareng', 'bank', 'potong', 'pajak', 'hak', 'waris', 'hak', 'putus', 'medis', 'hak', 'asuh', 'anak', 'hak', 'harta', 'nikmat', 'kaum', 'lgbt', 'indonesia', 'diskriminasi']"
kalian demo kenaikan upah kalian demo kenaikan bbm pajak listrik gas dan harga bahan pokok demo atas kenaikan biaya kuliah saat pemilu kalian justru lebih memilih program berkelanjutan yang jadi tahi daripada tahu ya udah terima saja sambil joget gemoyok gas,0,"['kalian', 'demo', 'kenaikan', 'upah', 'kalian', 'demo', 'kenaikan', 'bbm', 'pajak', 'listrik', 'gas', 'dan', 'harga', 'bahan', 'pokok', 'demo', 'atas', 'kenaikan', 'biaya', 'kuliah', 'saat', 'pemilu', 'kalian', 'justru', 'lebih', 'memilih', 'program', 'berkelanjutan', 'yang', 'jadi', 'tahi', 'daripada', 'tahu', 'ya', 'udah', 'terima', 'saja', 'sambil', 'joget', 'gemoyok', 'gas']","['demo', 'kenaikan', 'upah', 'demo', 'kenaikan', 'bbm', 'pajak', 'listrik', 'gas', 'harga', 'bahan', 'pokok', 'demo', 'kenaikan', 'biaya', 'kuliah', 'pemilu', 'memilih', 'program', 'berkelanjutan', 'tahi', 'udah', 'terima', 'joget', 'gemoyok', 'gas']","['demo', 'naik', 'upah', 'demo', 'naik', 'bbm', 'pajak', 'listrik', 'gas', 'harga', 'bahan', 'pokok', 'demo', 'naik', 'biaya', 'kuliah', 'milu', 'pilih', 'program', 'lanjut', 'tahi', 'udah', 'terima', 'joget', 'gemoyok', 'gas']"
semua hal dipajakin di negeri ini dari mulai makan sampai bangun rumah kena pajak pensiunan pun kena pajak tapi apa yg kita dapat sbg pembayar pajak basuki tjahaya purnama,0,"['semua', 'hal', 'dipajakin', 'di', 'negeri', 'ini', 'dari', 'mulai', 'makan', 'sampai', 'bangun', 'rumah', 'kena', 'pajak', 'pensiunan', 'pun', 'kena', 'pajak', 'tapi', 'apa', 'yg', 'kita', 'dapat', 'sbg', 'pembayar', 'pajak', 'basuki', 'tjahaya', 'purnama']","['dipajakin', 'negeri', 'makan', 'bangun', 'rumah', 'kena', 'pajak', 'pensiunan', 'kena', 'pajak', 'sbg', 'pembayar', 'pajak', 'basuki', 'tjahaya', 'purnama']","['dipajakin', 'negeri', 'makan', 'bangun', 'rumah', 'kena', 'pajak', 'pensiun', 'kena', 'pajak', 'sbg', 'bayar', 'pajak', 'basuki', 'tjahaya', 'purnama']"
wow rumah mentri di ikn ada yg sudah jadi nih yuk kita unboxing rumah pak bas para rakyat kecil gak usah iri ya bayar pajak yg rajin biar semua pembangunan nya cepat selesai oke gas,0,"['wow', 'rumah', 'mentri', 'di', 'ikn', 'ada', 'yg', 'sudah', 'jadi', 'nih', 'yuk', 'kita', 'unboxing', 'rumah', 'pak', 'bas', 'para', 'rakyat', 'kecil', 'gak', 'usah', 'iri', 'ya', 'bayar', 'pajak', 'yg', 'rajin', 'biar', 'semua', 'pembangunan', 'nya', 'cepat', 'selesai', 'oke', 'gas']","['wow', 'rumah', 'mentri', 'ikn', 'yuk', 'unboxing', 'rumah', 'bas', 'rakyat', 'iri', 'bayar', 'pajak', 'rajin', 'pembangunan', 'cepat', 'selesai', 'oke', 'gas']","['wow', 'rumah', 'tri', 'ikn', 'yuk', 'unboxing', 'rumah', 'bas', 'rakyat', 'iri', 'bayar', 'pajak', 'rajin', 'bangun', 'cepat', 'selesai', 'oke', 'gas']"
lagi viral pengusaha empekempek di palembang ditagih pajak bernilai fantastis sebesar milyar uedannn,0,"['lagi', 'viral', 'pengusaha', 'empekempek', 'di', 'palembang', 'ditagih', 'pajak', 'bernilai', 'fantastis', 'sebesar', 'milyar', 'uedannn']","['viral', 'pengusaha', 'empekempek', 'palembang', 'ditagih', 'pajak', 'bernilai', 'fantastis', 'milyar', 'uedannn']","['viral', 'usaha', 'empekempek', 'palembang', 'tagih', 'pajak', 'nila', 'fantastis', 'milyar', 'uedannn']"
itu kena pajak beacukai,1,"['itu', 'kena', 'pajak', 'beacukai']","['kena', 'pajak', 'beacukai']","['kena', 'pajak', 'beacukai']"
pajak motor dan mobil bensin naik beli bensin di spbu kendaran yg nunggak pajak tidak di ijinkan gimana enak jamanku thoo oke gass oke gasss,0,"['pajak', 'motor', 'dan', 'mobil', 'bensin', 'naik', 'beli', 'bensin', 'di', 'spbu', 'kendaran', 'yg', 'nunggak', 'pajak', 'tidak', 'di', 'ijinkan', 'gimana', 'enak', 'jamanku', 'thoo', 'oke', 'gass', 'oke', 'gasss']","['pajak', 'motor', 'mobil', 'bensin', 'beli', 'bensin', 'spbu', 'kendaran', 'nunggak', 'pajak', 'ijinkan', 'gimana', 'enak', 'jamanku', 'thoo', 'oke', 'gass', 'oke', 'gasss']","['pajak', 'motor', 'mobil', 'bensin', 'beli', 'bensin', 'spbu', 'kendaran', 'nunggak', 'pajak', 'ijinkan', 'gimana', 'enak', 'jaman', 'thoo', 'oke', 'gass', 'oke', 'gasss']"
jakarta mei kpk menetapkan dan menahan ama bupati sidoarjo sebagai tersangka korupsi berupa penerimaan uang dan pemotongan dana insentif pajak di lingkungan badan pelayanan pajak daerah bppd kabupaten sidoarjo jawa timur,0,"['jakarta', 'mei', 'kpk', 'menetapkan', 'dan', 'menahan', 'ama', 'bupati', 'sidoarjo', 'sebagai', 'tersangka', 'korupsi', 'berupa', 'penerimaan', 'uang', 'dan', 'pemotongan', 'dana', 'insentif', 'pajak', 'di', 'lingkungan', 'badan', 'pelayanan', 'pajak', 'daerah', 'bppd', 'kabupaten', 'sidoarjo', 'jawa', 'timur']","['jakarta', 'mei', 'kpk', 'menetapkan', 'menahan', 'ama', 'bupati', 'sidoarjo', 'tersangka', 'korupsi', 'penerimaan', 'uang', 'pemotongan', 'dana', 'insentif', 'pajak', 'lingkungan', 'badan', 'pelayanan', 'pajak', 'daerah', 'bppd', 'kabupaten', 'sidoarjo', 'jawa', 'timur']","['jakarta', 'mei', 'kpk', 'tetap', 'tahan', 'ama', 'bupati', 'sidoarjo', 'sangka', 'korupsi', 'terima', 'uang', 'potong', 'dana', 'insentif', 'pajak', 'lingkung', 'badan', 'layan', 'pajak', 'daerah', 'bppd', 'kabupaten', 'sidoarjo', 'jawa', 'timur']"
yang bayar pajak rumah kpr setelah ngemisngemis bank biar dikasih kredit pontangpanting kerja sana sini bayar cicilan rumah ada di tempat jin buang anak jarak rumah ke tempat kerja minimal jam masih nambah cicilan kendaraan soalnya gak ada kendaraan umum yang,0,"['yang', 'bayar', 'pajak', 'rumah', 'kpr', 'setelah', 'ngemisngemis', 'bank', 'biar', 'dikasih', 'kredit', 'pontangpanting', 'kerja', 'sana', 'sini', 'bayar', 'cicilan', 'rumah', 'ada', 'di', 'tempat', 'jin', 'buang', 'anak', 'jarak', 'rumah', 'ke', 'tempat', 'kerja', 'minimal', 'jam', 'masih', 'nambah', 'cicilan', 'kendaraan', 'soalnya', 'gak', 'ada', 'kendaraan', 'umum', 'yang']","['bayar', 'pajak', 'rumah', 'kpr', 'ngemisngemis', 'bank', 'dikasih', 'kredit', 'pontangpanting', 'kerja', 'bayar', 'cicilan', 'rumah', 'jin', 'buang', 'anak', 'jarak', 'rumah', 'kerja', 'minimal', 'jam', 'nambah', 'cicilan', 'kendaraan', 'kendaraan']","['bayar', 'pajak', 'rumah', 'kpr', 'ngemisngemis', 'bank', 'kasih', 'kredit', 'pontangpanting', 'kerja', 'bayar', 'cicil', 'rumah', 'jin', 'buang', 'anak', 'jarak', 'rumah', 'kerja', 'minimal', 'jam', 'nambah', 'cicil', 'kendara', 'kendara']"
jadi kebayang ya teman rakyat harus irit belanja buat makan segala harga beras naik produce naik semua naik belum dikejar bayar pajak eh pejabatnya uang makan juta per hari dan bayar uang pembantunya juta per bulan kaya gini kok pada disuruh sabar,0,"['jadi', 'kebayang', 'ya', 'teman', 'rakyat', 'harus', 'irit', 'belanja', 'buat', 'makan', 'segala', 'harga', 'beras', 'naik', 'produce', 'naik', 'semua', 'naik', 'belum', 'dikejar', 'bayar', 'pajak', 'eh', 'pejabatnya', 'uang', 'makan', 'juta', 'per', 'hari', 'dan', 'bayar', 'uang', 'pembantunya', 'juta', 'per', 'bulan', 'kaya', 'gini', 'kok', 'pada', 'disuruh', 'sabar']","['kebayang', 'teman', 'rakyat', 'irit', 'belanja', 'makan', 'harga', 'beras', 'produce', 'dikejar', 'bayar', 'pajak', 'eh', 'pejabatnya', 'uang', 'makan', 'juta', 'bayar', 'uang', 'pembantunya', 'juta', 'kaya', 'gini', 'disuruh', 'sabar']","['bayang', 'teman', 'rakyat', 'irit', 'belanja', 'makan', 'harga', 'beras', 'produce', 'kejar', 'bayar', 'pajak', 'eh', 'jabat', 'uang', 'makan', 'juta', 'bayar', 'uang', 'bantu', 'juta', 'kaya', 'gin', 'suruh', 'sabar']"
selain punya sim dan pakai seat belt padahal suicidal stellaron hunters ini jga selalu bayar pajak lohh,0,"['selain', 'punya', 'sim', 'dan', 'pakai', 'seat', 'belt', 'padahal', 'suicidal', 'stellaron', 'hunters', 'ini', 'jga', 'selalu', 'bayar', 'pajak', 'lohh']","['sim', 'pakai', 'seat', 'belt', 'suicidal', 'stellaron', 'hunters', 'jga', 'bayar', 'pajak', 'lohh']","['sim', 'pakai', 'seat', 'belt', 'suicidal', 'stellaron', 'hunters', 'jga', 'bayar', 'pajak', 'lohh']"
tapi pak pajak dan bea dan cukai itu bedaaa,0,"['tapi', 'pak', 'pajak', 'dan', 'bea', 'dan', 'cukai', 'itu', 'bedaaa']","['pajak', 'bea', 'cukai', 'bedaaa']","['pajak', 'bea', 'cukai', 'bedaaa']"
pedagang pasar pun gak luput dari kenaikan pajak yg di luar nalar di trenggalek pajak retribusi pedagang pasar naik menjadi apa gak merasa bersalah mempersulit para pedagang kecil sementara investor asing bisa bebas pajak bertahun ada apa dengan hati nurani,0,"['pedagang', 'pasar', 'pun', 'gak', 'luput', 'dari', 'kenaikan', 'pajak', 'yg', 'di', 'luar', 'nalar', 'di', 'trenggalek', 'pajak', 'retribusi', 'pedagang', 'pasar', 'naik', 'menjadi', 'apa', 'gak', 'merasa', 'bersalah', 'mempersulit', 'para', 'pedagang', 'kecil', 'sementara', 'investor', 'asing', 'bisa', 'bebas', 'pajak', 'bertahun', 'ada', 'apa', 'dengan', 'hati', 'nurani']","['pedagang', 'pasar', 'luput', 'kenaikan', 'pajak', 'nalar', 'trenggalek', 'pajak', 'retribusi', 'pedagang', 'pasar', 'bersalah', 'mempersulit', 'pedagang', 'investor', 'asing', 'bebas', 'pajak', 'bertahun', 'hati', 'nurani']","['dagang', 'pasar', 'luput', 'naik', 'pajak', 'nalar', 'trenggalek', 'pajak', 'retribusi', 'dagang', 'pasar', 'salah', 'sulit', 'dagang', 'investor', 'asing', 'bebas', 'pajak', 'tahun', 'hati', 'nurani']"
berhubung yang jadi presiden saya gak ikutan bayar pajak biarin kendaraan bodong toh pemakai ijazah bodong aman aman saja setuju,0,"['berhubung', 'yang', 'jadi', 'presiden', 'saya', 'gak', 'ikutan', 'bayar', 'pajak', 'biarin', 'kendaraan', 'bodong', 'toh', 'pemakai', 'ijazah', 'bodong', 'aman', 'aman', 'saja', 'setuju']","['berhubung', 'presiden', 'ikutan', 'bayar', 'pajak', 'biarin', 'kendaraan', 'bodong', 'pemakai', 'ijazah', 'bodong', 'aman', 'aman', 'setuju']","['hubung', 'presiden', 'ikut', 'bayar', 'pajak', 'biarin', 'kendara', 'bodong', 'pakai', 'ijazah', 'bodong', 'aman', 'aman', 'tuju']"
